Step Temp Press PotEng Nconf Lcom[3] Ucom[3] fe fx fy fz fse fsx fsy fsz 
   10600    302.06308   -126.44009   -683284.58          491    93.295338    120.79205   -522.92977   -14.016253 -0.014196014   -58.109069   -15044.867    76.949403    80.221052    130.52771 
   10700    300.13503    173.55374   -683216.09          499    93.291487    120.78759    -517.8193   -13.850889  0.046505093   -58.555371   -15098.424    -15.86401    79.938521    98.909121 
   10800    297.25107   -125.52383   -683382.89          490    93.283475    120.78051   -518.58118   -12.500586  -0.12257499   -57.570617   -15072.796    54.844767    18.842993     353.2684 
   10900    297.58692   -422.77149   -683560.91          493    93.283023    120.78006   -512.03559   -13.826865   0.21835163   -57.200912   -15116.431    100.00071    -130.2166    172.84593 
   11000    298.72218    68.451737   -683449.18          496    93.278761    120.77448     -500.174   -13.458161 -0.049980474   -55.920104   -15097.778   -103.16027   -117.86331     26.51149 
   11100    300.22266    43.233905   -683302.06          495    93.280754     120.7752    -526.1423   -13.114927    0.1666229   -58.800168   -15159.503    123.79612    110.51415    95.178706 
   11200    301.70432   -293.01472   -683286.45          496    93.278631    120.77379    -523.8257   -12.438378  -0.06532943   -59.206628   -15089.192    110.18182   -74.929817   -141.87641 
   11300    299.27393   -397.06313   -683257.49          492    93.277791    120.77368   -511.50815   -12.428497   0.10263578   -57.398573   -15038.374    42.240626    24.192506   -23.735786 
   11400    296.92825   -67.915425   -683425.37          498    93.272987    120.76694   -526.46201    -12.47306   0.16386431   -59.069031   -15011.055    57.716424   -21.376814     418.3847 
   11500    298.99313    11.467715   -683643.85          500    93.270836     120.7659   -508.68371   -13.598005 -0.088014358   -57.711285   -15058.613   -101.10595    -55.22827    129.03195 
   11600    298.81879   -38.449279   -683565.63          492    93.265012    120.76031   -507.22569   -13.601032    0.0134687   -57.224572   -15034.674    21.542093     52.31415    104.60657 
   11700    299.23593    166.08426   -683510.63          491    93.258991    120.75401    -502.5964   -12.174178  -0.15024855   -56.240597   -14969.152    33.484469    -8.460203   -20.731165 
   11800    300.43649   -59.050825    -683502.5          495    93.254353    120.74901   -500.81694   -12.800927  0.010777388   -57.083929   -15005.495    17.747005     -55.3172    266.83178 
   11900     301.7645    101.29889   -683580.64          497    93.255532    120.75084   -506.28491   -13.542017 -0.023111297   -57.253833   -15112.594   -27.579103   -200.88842   -150.54491 
   12000    299.44429     9.317353   -683477.65          494    93.260308    120.75573   -498.24133   -13.741129  0.042546235   -56.934927   -15006.712   -103.87956   -114.69265    142.35083 
   12100    300.35529    130.11298   -683481.44          496    93.259591    120.75674   -514.50292   -14.543686 -0.010351185   -57.406793    -14975.02   -51.303481   -27.451835   -10.977831 
